id,name,onsale_price,brand,category,os,cpu,gpu,rating,reviews_count,is_new,url,retailer,created_at,updated_at
281570,Điện thoại iPhone 15 128GB,15290000,iPhone (Apple),Smartphone,iOS 17,,,4.9,91248,True,https://www.thegioididong.com/dtdd/iphone-15,TGDD,09/2023,2025-08-27 21:51:54
329150,Điện thoại iPhone 16 Pro Max 512GB,36790000,iPhone (Apple),Smartphone,iOS 18,,,5.0,32658,True,https://www.thegioididong.com/dtdd/iphone-16-pro-max-512gb,TGDD,09/2024,2025-08-27 21:51:54
335227,Điện thoại vivo Y04 4GB/64GB,2940000,vivo,Smartphone,Android 14,,,5.0,1408,True,https://www.thegioididong.com/dtdd/vivo-y04-64gb,TGDD,04/2025,2025-08-27 21:51:54
305659,Điện thoại iPhone 15 Pro Max 512GB,30490000,iPhone (Apple),Smartphone,iOS 17,,,4.9,21040,True,https://www.thegioididong.com/dtdd/iphone-15-pro-max-512gb,TGDD,09/2023,2025-08-27 21:51:54
329140,Điện thoại iPhone 16 Plus 256GB,25290000,iPhone (Apple),Smartphone,iOS 18,,,4.9,6495,True,https://www.thegioididong.com/dtdd/iphone-16-plus-256gb,TGDD,09/2024,2025-08-27 21:51:54
329940,Điện thoại Xiaomi 14T Pro 5G 12GB/256GB,16490000,Xiaomi,Smartphone,Xiaomi HyperOS (Android 14),,,4.9,11448,True,https://www.thegioididong.com/dtdd/xiaomi-14t-pro-5g-12gb-256gb,TGDD,09/2024,2025-08-27 21:51:54
333834,Điện thoại HONOR X5b 4GB/64GB,2160000,HONOR,Smartphone,Android 14,,,4.9,6300,True,https://www.thegioididong.com/dtdd/honor-x5b,TGDD,01/2025,2025-08-27 21:51:54
308697,"Laptop MSI Gaming GF63 Thin 12VE - 460VN (i5 12450H, 8GB, 512GB, RTX 4050 6GB, Full HD 144Hz, Win11)",19290000,MSI,Laptop,Windows 11 Home SL,Intel Core i5 Alder Lake - 12450H,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",4.9,1009,True,https://www.thegioididong.com/laptop/msi-gaming-gf63-thin-12ve-i5-460vn,TGDD,2023,2025-08-27 21:51:54
335918,Điện thoại Xiaomi Redmi A5 4GB/128GB,3240000,Xiaomi,Smartphone,Android 15,,,4.9,18586,True,https://www.thegioididong.com/dtdd/xiaomi-redmi-a5-4gb-128gb,TGDD,04/2025,2025-08-27 21:51:54
319665,Điện thoại Samsung Galaxy S24 5G 8GB/256GB,17510000,Samsung,Smartphone,Android 14,,,4.9,16179,True,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-256gb-5g,TGDD,01/2024,2025-08-27 21:51:54
335918,Điện thoại Xiaomi Redmi A5 4GB/128GB,3240000,Xiaomi,Smartphone,Android 15,,,4.9,18586,True,https://www.thegioididong.com/dtdd/xiaomi-redmi-a5-4gb-128gb,TGDD,04/2025,2025-08-27 21:51:54
303823,Điện thoại iPhone 15 Plus 256GB,21590000,iPhone (Apple),Smartphone,iOS 17,,,4.9,13148,True,https://www.thegioididong.com/dtdd/iphone-15-plus-256gb,TGDD,09/2023,2025-08-27 21:51:54
338204,"Laptop HP Gaming VICTUS 15 fa2731TX - B85LNPA (i5 13420H, 16GB, 512GB, RTX 3050 6GB, Full HD 144Hz, Win11)",20690000,HP,Laptop,Windows 11 Home SL,Intel Core i5 Raptor Lake - 13420H,"Card rời - NVIDIA GeForce RTX 3050, 6 GB",4.9,148,True,https://www.thegioididong.com/laptop/hp-victus-15-fa2731tx-i5-b85lnpa,TGDD,2024,2025-08-27 21:51:54
331362,"Laptop MSI Modern 15 F13MG - 082VN (i5 1335U, 16GB, 512GB, Full HD, Win11)",13690000,MSI,Laptop,Windows 11 Home SL,Intel Core i5 Raptor Lake - 1335U,Intel Iris Xe Graphics,5.0,556,True,https://www.thegioididong.com/laptop/msi-modern-15-f13mg-i5-082vn,TGDD,2024,2025-08-27 21:51:54
317712,"Laptop Asus Vivobook 14 X1404ZA - NK246W (i3 1215U, 8GB, 512GB, Full HD, Win11)",10490000,Asus,Laptop,Windows 11 Home SL,1215U,Intel UHD Graphics,4.9,6772,True,https://www.thegioididong.com/laptop/asus-vivobook-x1404za-i3-nk246w,TGDD,2023,2025-08-27 21:51:54
328815,"Laptop HP Envy X360 14 fa0050AU - A29H8PA (R5 8640HS, 16GB, 512GB, 2.8K OLED, Cảm ứng, Win11)",25890000,HP,Laptop,Windows 11 Home SL,AMD Ryzen 5 - 8640HS,Card tích hợp - AMD Radeon Graphics,5.0,280,True,https://www.thegioididong.com/laptop/hp-envy-x360-14-fa0050au-r5-a29h8pa,TGDD,2024,2025-08-27 21:51:54
334169,Điện thoại Xiaomi 15 Ultra 5G 16GB/512GB,31990000,Xiaomi,Smartphone,Xiaomi HyperOS 2,,,5.0,514,True,https://www.thegioididong.com/dtdd/xiaomi-15-ultra,TGDD,03/2025,2025-08-27 21:51:54
335638,Điện thoại Xiaomi Redmi 13x 8GB/128GB,4210000,Xiaomi,Smartphone,Xiaomi HyperOS (Android 14),,,4.9,33117,True,https://www.thegioididong.com/dtdd/xiaomi-redmi-13x,TGDD,03/2025,2025-08-27 21:51:54
303891,Điện thoại iPhone 15 Plus 128GB,18890000,iPhone (Apple),Smartphone,iOS 17,,,4.9,54567,True,https://www.thegioididong.com/dtdd/iphone-15-plus,TGDD,09/2023,2025-08-27 21:51:54
331200,Điện thoại vivo Y19s 6GB/128GB,4220000,vivo,Smartphone,Android 14,,,4.9,47183,True,https://www.thegioididong.com/dtdd/vivo-y19s-6gb-128gb,TGDD,11/2024,2025-08-27 21:51:54
328454,Điện thoại OPPO A3 8GB/128GB,5200000,OPPO,Smartphone,Android 14,,,4.9,46359,True,https://www.thegioididong.com/dtdd/oppo-a3-8gb-128gb,TGDD,08/2024,2025-08-27 21:51:54
334996,"Laptop Acer Aspire Lite AL14 52M 54CJ - NX.J39SV.002 (i5 1334U, 16GB, 512GB, WUXGA, Win11)",14190000,Acer,Laptop,Windows 11 Home SL,Intel Core i5 Raptor Lake - 1334U,Card tích hợp - Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi),5.0,1366,True,https://www.thegioididong.com/laptop/acer-aspire-lite-al14-52m-54cj-i5-nxj39sv002,TGDD,2024,2025-08-27 21:51:54
