id,name,onsale_price,brand,category,os,cpu/chipset,gpu,ram,storage,rating,reviews_count,is_new,url,retailer,created_at,updated_at
340560,"Laptop Dell Inspiron 15 3530 - 71070372 (i5 1334U, 16GB, 512GB, Full HD 120Hz, OfficeH24+365, Win11)",17990000,Dell,Laptop,Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,Intel Core i5 Raptor Lake - 1334U,Intel Iris Xe Graphics,16 GB DDR4 (1 khe 8 GB + 1 khe 8 GB) 3200 MHz,512 GB SSD NVMe PCIe,5.0,122,True,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i5-71070372,TGDD,2025,2025-08-28 22:40:39
328752,Điện thoại Samsung Galaxy A06 4GB/64GB,2990000,Samsung,Smartphone,Android 14,MediaTek Helio G85,,4 GB,64 GB,4.9,142159,True,https://www.thegioididong.com/dtdd/samsung-galaxy-a06-4gb-64gb,TGDD,08/2024,2025-08-28 22:40:39
281570,Điện thoại iPhone 15 128GB,15290000,iPhone (Apple),Smartphone,iOS 17,Apple A16 Bionic,,6 GB,128 GB,4.9,91248,True,https://www.thegioididong.com/dtdd/iphone-15,TGDD,09/2023,2025-08-28 22:40:39
338920,Điện thoại vivo Y19s Pro 4GB/128GB,4410000,vivo,Smartphone,Android 15,Unisoc Tiger T612,,4 GB,128 GB,5.0,5307,True,https://www.thegioididong.com/dtdd/vivo-y19s-pro,TGDD,06/2025,2025-08-28 22:40:39
327189,Điện thoại OPPO Reno12 F 5G 8GB/256GB,8420000,OPPO,Smartphone,Android 14,MediaTek Dimensity 6300 5G 8 nhân,,8 GB,256 GB,4.9,5803,True,https://www.thegioididong.com/dtdd/oppo-reno12-f-5g-8gb-256gb,TGDD,07/2024,2025-08-28 22:40:39
329136,Điện thoại iPhone 16 256GB,21890000,iPhone (Apple),Smartphone,iOS 18,Apple A18 6 nhân,,8 GB,256 GB,4.9,6244,True,https://www.thegioididong.com/dtdd/iphone-16-256gb,TGDD,09/2024,2025-08-28 22:40:39
333148,Điện thoại Xiaomi Redmi Note 14 8GB/256GB,6180000,Xiaomi,Smartphone,Xiaomi HyperOS (Android 14),MediaTek Helio G99-Ultra 8 nhân,,8 GB,256 GB,4.9,69021,True,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-14-8gb-256gb,TGDD,01/2025,2025-08-28 22:40:39
331206,Điện thoại Samsung Galaxy A16 8GB/256GB,5490000,Samsung,Smartphone,Android 14,MediaTek Helio G99,,8 GB,256 GB,4.9,42643,True,https://www.thegioididong.com/dtdd/samsung-galaxy-a16,TGDD,11/2024,2025-08-28 22:40:39
332448,Laptop MacBook Pro 14 inch Nano M4 16GB/512GB,41690000,MacBook,Laptop,macOS Sequoia,Apple M4 - Hãng không công bố,Card tích hợp - 10 nhân GPU,16 GB,512 GB SSD,5.0,204,True,https://www.thegioididong.com/laptop/macbook-pro-14-nano-m4-16-512,TGDD,10/2024,2025-08-28 22:40:39
313974,"Laptop HP Gaming VICTUS 16 s0077AX - 8C5N6PA (R7 7840HS, 16GB, 512GB, RTX 3050 6GB, Full HD 144Hz, Win11)",23590000,HP,Laptop,Windows 11 Home SL,AMD Ryzen 7 - 7840HS,"Card rời - NVIDIA GeForce RTX 3050, 6 GB",16 GB DDR5 (1 khe 8 GB + 1 khe 8 GB) 5600 MHz,512 GB SSD NVMe PCIe,4.9,525,True,https://www.thegioididong.com/laptop/hp-gaming-victus-16-s0077ax-r7-8c5n6pa,TGDD,2023,2025-08-28 22:40:39
