sku,name,price,brand,category,rating,reviews_count,url,release_date,updated_at,sound_tech,compatible,control,connectivity,water_resistant,ports,battery,case_battery,weight
329299,Tai nghe Bluetooth True Wireless Rezo K50,420000,Rezo,Earbuds,4.9,12160,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-true-wireless-rezo-k50,,2025-09-24 07:17:53,Driver 13 mm,"macOS, Android, iOS, Windows",Cảm ứng,Bluetooth 5.4,,Type-C,Dùng 4 giờ - Sạc 1 giờ,Dùng 16 giờ - Sạc 1 giờ,4 g
332587,Tai nghe Chụp Tai soundcore Space One A3035,1840000,soundcore,Headphone,5.0,349,https://www.thegioididong.com/tai-nghe/tai-nghe-chup-tai-soundcore-space-one-a3035,,2025-09-24 07:17:53,"Âm thanh Hi-Fi, Hi-Res Audio, Active Noise Cancelling, codec LDAC, Driver 40 mm",Các thiết bị có hỗ trợ Bluetooth,Phím nhấn,Bluetooth 5.3,IPX5,"3.5 mm, Type-C",Dùng Khoảng 55 giờ (khi tắt ANC) - Sạc 2 giờ,,132.5 g
337180,Tai nghe Bluetooth Chụp Tai Gaming Asus ROG PELTA,3490000,Asus,Headphone,5.0,12,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-chup-tai-gaming-asus-rog-pelta,,2025-09-24 07:17:53,"Âm thanh nổi, Driver 50 mm","macOS, PC, PlayStation 4, PlayStation 5, Nintendo Switch, Android, iOS, Windows","Phím nhấn, Bánh xe lăn","2.4 GHz, Bluetooth",,"Type-C, Type C",Dùng 70 giờ - Sạc 2 giờ,,309 g
327256,Tai Nghe Bluetooth Chụp Tai Beats Solo 4,4690000,Beats,Headphone,5.0,60,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-beats-solo-4,,2025-09-24 07:17:53,Hãng không công bố,"macOS, Android, iOS, Windows",Phím nhấn,Bluetooth Class 1,,"3.5 mm, Type-C",Dùng 50 giờ - Sạc Hãng không công bố,,217 g
320942,Tai nghe Bluetooth True Wireless Baseus Bowie E13,270000,Baseus,Earbuds,4.9,8270,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-true-wireless-baseus-bowie-e13,,2025-09-24 07:17:53,,"macOS, Android, iOS, Windows",Cảm ứng chạm,Bluetooth 5.3,,Type-C,Dùng Khoảng 6 giờ (âm lượng 70%) - Sạc 1 giờ,Dùng 30 giờ - Sạc 1.5 giờ,3.9 g
322215,Tai nghe Bluetooth True Wireless AVA+ FreeGo PT62,190000,AVA+,Earbuds,4.9,54483,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-true-wireless-ava-freego-pt62,,2025-09-24 07:17:56,"Công nghệ ENC, Driver 13 mm","macOS, Android, iOS, Windows",Cảm ứng chạm,Bluetooth 5.4,,Type-C,Dùng 7 giờ - Sạc 1.5 giờ,Dùng 20 giờ - Sạc 1.5 giờ,3.4 g
310400,Tai nghe Bluetooth True Wireless Havit TW947,350000,HAVIT,Earbuds,4.9,3626,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-true-wireless-havit-tw947,,2025-09-24 07:17:57,Công nghệ ENC,"macOS, Android, iOS, Windows",Cảm ứng chạm,Bluetooth 5.3,,Type-C,Dùng 6 giờ - Sạc 1.5 giờ,Dùng 30 giờ - Sạc 2 giờ,4.36 g
335707,Tai nghe Có Dây Type C JBL T310C,575000,JBL,Earphones,5.0,245,https://www.thegioididong.com/tai-nghe/tai-nghe-co-day-type-c-jbl-t310cblk,,2025-09-24 07:17:57,"Driver 9 mm, JBL Pure Bass Sound, Hi-Res Audio, Adaptive EQ",Thiết bị hỗ trợ chuyển đổi âm thanh qua cổng Type C,Phím nhấn,,,Type C,,,14.3 g
315072,Tai nghe Có Dây Apple MTJY3,540000,Apple,Earphones,4.9,27750,https://www.thegioididong.com/tai-nghe/tai-nghe-co-day-apple-mtjy3,,2025-09-24 07:17:57,,"iOS (iPhone), iPadOS (iPad), macOS (Macbook, iMac)",Phím nhấn,,,Type C,,,
339343,Tai nghe Bluetooth True Wireless Havit TW923 Pro,530000,HAVIT,Earbuds,5.0,1617,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-true-wireless-havit-tw923-pro,,2025-09-24 07:17:57,"Chống ồn chủ động, Công nghệ ENC","macOS, Android, iOS, Windows",Cảm ứng chạm,Bluetooth 5.4,IPX4,Type-C,Dùng 6 giờ - Sạc Khoảng 1.5 giờ,Dùng 30 giờ - Sạc Khoảng 2.5 giờ,9 g
