id,name,price,brand,category,cpu,cpu_speed,gpu,ram,ram_type,storage,screen_size,screen_tech,screen_resolution,screen_frequency,operating_system,battery,rating,reviews_count,url,created_at,updated_at
331575,Laptop MacBook Pro 16 inch M4 Pro 24GB/1TB,68090000,MacBook,Laptop,Apple M4 Pro - Hãng không công bố,273 GB/s memory bandwidth,Card tích hợp - 20 nhân GPU,24 GB,Hãng không công bố Hãng không công bố,1 TB SSD,"16.2""","Độ sáng XDR: toàn màn hình 1000 nits, cao nhất 1600 nits (chỉ nội dung HDR)",Liquid Retina XDR display (3456 x 2234),up to 120 Hz,macOS Sequoia,"Li-Po, 100 Wh",5.0,47,https://www.thegioididong.com/laptop/macbook-pro-16-inch-m4-pro-24gb-1tb,10/2024,2025-09-01 23:32:40
334446,"Laptop Lenovo IdeaPad Slim 3 15IRH10 - 83K1000FVN (i7 13620H, 24GB, 512GB, WUXGA, Win11)",19190000,Lenovo,Laptop,Intel Core i7 Raptor Lake - 13620H,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),Card tích hợp - Intel UHD Graphics,24 GB,DDR5 (1 khe 8 GB onboard + 1 khe 16 GB) 4800 MHz,"512 GB SSD NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","15.3""",IPS,WUXGA (1920 x 1200),60Hz,Windows 11 Home SL,60 Wh,5.0,996,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15irh10-i7-83k1000fvn,2024,2025-09-01 23:32:40
339681,"Laptop Dell Inspiron 15 3530 - P16WD22 (i5 1334U, 16GB, 512GB, Full HD 120Hz, OfficeH24+365, Win11)",17490000,Dell,Laptop,Intel Core i5 Raptor Lake - 1334U,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),Card tích hợp - Intel Iris Xe Graphics,16 GB,DDR4 (8 GB onboard + 1 khe 8 GB) 2666 MHz,512 GB SSD NVMe PCIe,"15.6""",Chống chói Anti Glare,Full HD (1920 x 1080),120Hz,Windows 11 Home SL + Office Home & Student 2021 vĩnh viễn,"4-cell, 54Wh",5.0,92,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i5-p16wd22,2025,2025-09-01 23:32:40
337843,"Laptop GIGABYTE Gaming A16 GA6H - GAMING-A16-CMHH2VN893SH (i5 13420H, 16GB, 512GB, RTX 4050 6GB, WUXGA 165Hz, Win11)",23990000,GIGABYTE,Laptop,Intel Core i5 Raptor Lake - 13420H,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),"Card rời - NVIDIA GeForce RTX 4050, 6 GB",16 GB,DDR5 (1 khe 16 GB + 1 khe rời) 5200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 4 TB)","16""",IPS,WUXGA (1920 x 1200),165 Hz,Windows 11 Home SL,76 Wh,5.0,7,https://www.thegioididong.com/laptop/gigabyte-a16-ga6h-i5-gaminga16cmhh2vn893sh,2025,2025-09-01 23:32:41
337842,"Laptop GIGABYTE Gaming G6 MF RC56 - 9RC56MF0HJIIXIVN000 (i7 13620H, 16GB, 512GB, RTX 4050 6GB, WUXGA 165Hz, Win11)",23690000,GIGABYTE,Laptop,Intel Core i7 Raptor Lake - 13620H,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),"Card rời - NVIDIA GeForce RTX 4050, 6 GB",16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB) 4800 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 4 TB)","16""",IPS,WUXGA (1920 x 1200),165 Hz,Windows 11 Home SL,"4-cell, 54Wh",5.0,50,https://www.thegioididong.com/laptop/gigabyte-g6-mf-rc56-i7-9rc56mf0hjiixivn000,2024,2025-09-01 23:32:42
341751,"Laptop GIGABYTE Gaming A16 GA6H - GAMING-A16-CTHH3VN893SH (i5 13420H, 16GB, 512GB, RTX5050 8GB, WUXGA 165Hz, Win11)",28590000,GIGABYTE,Laptop,Intel Core i5 Raptor Lake - 13420H,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),"Card rời - NVIDIA GeForce RTX 5050, 8 GB",16 GB,DDR5 (1 khe 16 GB + 1 khe rời) 5200 MHz,"512 GB SSD PCIe M.2 (2280) (Có thể tháo rời, lắp thanh khác tối đa 4 TB (2280))","16""",IPS,WUXGA (1920 x 1200),165 Hz,Windows 11 Home SL,"Li-Polymer, 76Wh",5.0,1,https://www.thegioididong.com/laptop/gigabyte-a16-ga6h-i5-13420h-gaming-a16-cthh3vn893sh,2025,2025-09-01 23:32:42
335369,Laptop MacBook Air 13 inch M4 32GB/256GB,35490000,MacBook,Laptop,Apple M4 - Hãng không công bố,120 GB/s memory bandwidth,Card tích hợp - 10 nhân GPU,32 GB,Hãng không công bố Hãng không công bố,256 GB SSD,"13.6""",IPS,Liquid Retina (2560 x 1664),Hãng không công bố,macOS Sequoia,"Li-Po, 53.8 Wh",5.0,14,https://www.thegioididong.com/laptop/macbook-air-13-inch-m4-32gb-256gb,03/2025,2025-09-01 23:32:42
335375,Laptop MacBook Air 15 inch M4 24GB/256GB,35790000,MacBook,Laptop,Apple M4 - Hãng không công bố,120 GB/s memory bandwidth,Card tích hợp - 10 nhân GPU,24 GB,Hãng không công bố Hãng không công bố,256 GB SSD,"15.3""",IPS,Liquid Retina,Hãng không công bố,macOS Sequoia,"Li-Po, 66.5 Wh",5.0,47,https://www.thegioididong.com/laptop/macbook-air-15-inch-m4-24gb-256gb,03/2025,2025-09-01 23:32:43
335373,Laptop MacBook Air 15 inch M4 16GB/512GB,34390000,MacBook,Laptop,Apple M4 - Hãng không công bố,120 GB/s memory bandwidth,Card tích hợp - 10 nhân GPU,16 GB,Hãng không công bố Hãng không công bố,512 GB SSD,"15.3""",IPS,Liquid Retina,Hãng không công bố,macOS Sequoia,"Li-Po, 66.5 Wh",5.0,123,https://www.thegioididong.com/laptop/macbook-air-15-inch-m4-16gb-512gb,03/2025,2025-09-01 23:32:43
340558,"Laptop Dell Inspiron 15 3530 - N3530-i5U165W11SLU-HS24 (i5 1334U, 16GB, Full HD 120Hz, OfficeH24+365, Win11)",17490000,Dell,Laptop,Intel Core i5 Raptor Lake - 1334U,1.30 GHz (Lên đến 4.60 GHz khi tải nặng),Card tích hợp - Intel Iris Xe Graphics,16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB) 2666 MHz,"512 GB SSD NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","15.6""",Chống chói Anti Glare,Full HD (1920 x 1080),120Hz,Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,"3-cell, 41Wh",5.0,119,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i5-n3530-i5u165w11slu-hs24,2025,2025-09-01 23:32:44
