sku,name,price,brand,category,rating,reviews_count,url,release_date,updated_at,cpu,cpu_cores,cpu_threads,cpu_speed,gpu,ram,max_ram,ram_type,ram_bus,storage,webcam,screen_panel,screen_size,screen_tech,screen_res,screen_rate,screen_nits,os,battery,weight,material,connectivity,ports
338322,"Laptop Asus Vivobook S16 S3607VA - RP055WS (i5 13420H, 16GB, 512GB, WUXGA 144Hz, OfficeH24+365, Win11)",17990000,Asus,Laptop,5.0,509,https://www.thegioididong.com/laptop/asus-s3607va-i5-rp055ws,2025,2025-09-24 07:17:53,Intel Core i5 Raptor Lake - 13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),Card tích hợp - Intel UHD Graphics,16 GB,24 GB,DDR5 (1 khe 8 GB onboard + 1 khe 8 GB),4800 MHz,512 GB SSD NVMe PCIe,"Full HD Webcam, Camera IR",IPS,"16""","Chống chói Anti Glare, LED Backlit, 300 nits",WUXGA (1920 x 1200),144Hz,300 nits,Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,"4-cell Li-ion, 70 Wh",1.8 kg,Vỏ kim loại - Nhôm,"Wi-Fi 6 (802.11ax), Bluetooth 5.3","Jack tai nghe 3.5 mm, 2 x USB 3.2, HDMI, 2 x USB Type-C (Power Delivery and DisplayPort)"
341602,"Laptop Acer Aspire Lite 16 AI AL16 71P 5674 - NX.D4XSV.001 (Ultra 5 125H, 16GB, 512GB, Full HD+, Win11)",17490000,Acer,Laptop,5.0,87,https://www.thegioididong.com/laptop/acer-aspire-lite-16-ai-al16-71p-5674-ultra-5-125h-nx-d4xsv-001,2025,2025-09-24 07:17:53,Intel Core Ultra 5 Meteor Lake - 125H,14,18,3.60 GHz (Lên đến 4.50 GHz khi tải nặng),Card tích hợp - Intel Arc Graphics,16 GB,64 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),5600 MHz,"512 GB SSD NVMe PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",Full HD Webcam,IPS,"16""","LED Backlit, Acer ComfyView, WVA",Full HD+ (1920 x 1200),60Hz,,Windows 11 Home SL,"3-cell Li-ion, 58 Wh",1.6 kg,Vỏ nhựa,"Wi-Fi 6 (802.11ax), Bluetooth 5.1","Jack tai nghe 3.5 mm, 2 x USB Type-A, LAN (RJ45), HDMI 1.4, 2 x USB Type-C (Power Delivery and DisplayPort)"
327507,"Laptop Acer Aspire 5 A515 58M 79R7 - NX.KQ8SV.007 (i7 13620H, 16GB, 512GB, Full HD, Win11)",18490000,Acer,Laptop,4.9,415,https://www.thegioididong.com/laptop/acer-aspire-5-a515-58m-79r7-i7-nxkq8sv007,2023,2025-09-24 07:17:55,Intel Core i7 Raptor Lake - 13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),Card tích hợp - Intel UHD Graphics,16 GB,Không hỗ trợ nâng cấp,LPDDR5 (Onboard),4800 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",Full HD Webcam,,"15.6""","Acer ComfyView, 250 nits",Full HD (1920 x 1080),60Hz,250 nits,Windows 11 Home SL,"3-cell, 50Wh",1.7 kg,Vỏ nhựa - nắp lưng bằng kim loại,"Wi-Fi 6E (802.11ax), Bluetooth 5.1","Jack tai nghe 3.5 mm, 2 x USB 3.2, HDMI, 1 x USB Type-C (hỗ trợ USB 4, DisplayPort và Thunderbolt 4)"
335376,Laptop MacBook Air 15 inch M4 24GB/512GB,39990000,MacBook,Laptop,5.0,66,https://www.thegioididong.com/laptop/macbook-air-15-inch-m4-24gb-512gb,03/2025,2025-09-24 07:17:55,Apple M4 - Hãng không công bố,10,Hãng không công bố,120 GB/s memory bandwidth,Card tích hợp - 10 nhân GPU,24 GB,Không hỗ trợ nâng cấp,Hãng không công bố,Hãng không công bố,512 GB SSD,1080p FaceTime HD camera,IPS,"15.3""","Wide color (P3), 500 nits brightness, True Tone Technology, 1 tỷ màu",Liquid Retina,Hãng không công bố,500 nits,macOS Sequoia,"Li-Po, 66.5 Wh",1.51 kg,Vỏ nhôm tái chế 100%,"Wi-Fi 6E (802.11ax), Bluetooth 5.3","Jack tai nghe 3.5 mm, MagSafe 3, 2 x, Thunderbolt 4.0 (hỗ trợ USB 4, USB Type-C, DisplayPort và Power Delivery)"
316941,"Laptop MSI Gaming GF63 Thin 12UC - 887VN (i7 12650H, 8GB, 512GB, RTX 3050 4GB, Full HD 144Hz, Win11)",18190000,MSI,Laptop,4.9,1204,https://www.thegioididong.com/laptop/msi-gaming-gf63-thin-12uc-i7-887vn,2023,2025-09-24 07:17:55,Intel Core i7 Alder Lake - 12650H,10,16,2.30 GHz (Lên đến 4.70 GHz khi tải nặng),"Card rời - NVIDIA GeForce RTX 3050, 4 GB",8 GB,64 GB,DDR4 (1 khe 8 GB onboard + 1 khe trống),3200 MHz,"512 GB SSD NVMe PCIe Gen 4.0, Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng",HD webcam,IPS,"15.6""","Wled-backlit, Chống chói Anti Glare",Full HD (1920 x 1080),144Hz,,Windows 11 Home SL,"3-cell Li-ion, 52.4 Wh",1.86 kg,Vỏ kim loại,"Bluetooth 5.2, Wi-Fi 6 (802.11ax)","1x Mic-in, 1x Headphone-out, 3 x USB 3.2, HDMI, LAN (RJ45), USB Type-C"
340565,"Laptop Asus Vivobook 15 OLED A1505VA - MA570WS (i7 13620H, 16GB, 512GB, 2.8K OLED 120Hz, OfficeH24+365, Win11)",19990000,Asus,Laptop,5.0,224,https://www.thegioididong.com/laptop/asus-vivobook-a1505va-i7-ma570ws,2025,2025-09-24 07:17:55,Intel Core i7 Raptor Lake - 13620H,10,16,2.40 GHz (Lên đến 4.90 GHz khi tải nặng),Card tích hợp - Intel UHD Graphics,16 GB,24 GB,DDR4 (8 GB onboard + 1 khe 8 GB),3200 MHz,512 GB SSD NVMe PCIe Gen 4.0,HD webcam,OLED,"15.6""","Màn hình bảo vệ mắt - EYE CARE, Chuẩn DisplayHDR True Black 600, Low Blue Light, 600 nits (Khi bật HDR), 1.07 tỷ màu",2.8K (2880 x 1620) - OLED,120Hz,600 nits,Windows 11 Home SL + Office Home 2024 vĩnh viễn + Microsoft 365 Basic,"3-cell, 50Wh",1.7 kg,Vỏ nhựa,"Wi-Fi 6E (802.11ax), Bluetooth 5.3","1 x USB 2.0, Jack tai nghe 3.5 mm, 2 x USB 3.2, HDMI, 1 x USB Type-C (chỉ hỗ trợ Power Delivery)"
351612,"Laptop Dell Inspiron 15 3530 - N3530-i3U085W11SLU (i3 1305U, 8GB, 512GB, Full HD 120Hz, OfficeH24+365, Win11)",11990000,Dell,Laptop,,,https://www.thegioididong.com/laptop/dell-inspiron-15-3530-i3-1305u-n3530-i3u085w11slu,2025,2025-09-24 07:17:56,Intel Core i3 Raptor Lake - 1305U,5,6,1.6GHz,Card tích hợp - Intel UHD Graphics,8 GB,16 GB,DDR4 (1 khe 8 GB + 1 khe rời),2666 MHz,"512 GB SSD M.2 PCIe Gen4x4 (Có thể tháo ra, lắp thanh khác tối đa 1TB (2230)), Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB)",HD webcam,WVA,"15.6""","Chống chói Anti Glare, 250 nits",Full HD (1920 x 1080),120Hz,250 nits,Windows 11 Home + Office Home 2024 + Microsoft 365 Basic,"3 cell, 41 Wh",1.66 kg,Vỏ nhựa,"Wi-Fi 6 (802.11ax), Bluetooth 5.3","1 x USB 3.2 Gen 1, 1 x USB 2.0, Jack tai nghe 3.5 mm, 1 x USB 3.2 Gen 1 Type-C, HDMI 1.4"
328815,"Laptop HP Envy X360 14 fa0050AU - A29H8PA (R5 8640HS, 16GB, 512GB, 2.8K OLED, Cảm ứng, Win11)",25890000,HP,Laptop,5.0,295,https://www.thegioididong.com/laptop/hp-envy-x360-14-fa0050au-r5-a29h8pa,2024,2025-09-24 07:17:57,AMD Ryzen 5 - 8640HS,6,12,3.50 GHz (Lên đến 4.90 GHz khi tải nặng),Card tích hợp - AMD Radeon Graphics,16 GB,Không hỗ trợ nâng cấp,LPDDR5 (Onboard),6400 MHz,512 GB SSD NVMe PCIe Gen 4.0,Camera IR 5 MP,OLED,"14""","Thời gian phản hồi 0.2 ms, Low Blue Light, 400 nits, 500 nits (Khi bật HDR), 1.07 tỷ màu",2.8K (2880 x 1800) - OLED 1610,60Hz,400 nits,Windows 11 Home SL,"3-cell Li-ion, 59 Wh",1.39 kg,Vỏ kim loại,"Wi-Fi 6E (802.11ax), Bluetooth 5.3","2 x USB Type-A, HDMI, 1 x Headphone/microphone combo, 2 x USB Type-C (hỗ trợ USB Power Delivery, DisplayPort 1.4)"
341618,"Laptop HP 15 fd0235TU - 9Q970PA_120U (Core 5 120U, 16GB, 512GB, Full HD, Win11)",16190000,HP,Laptop,5.0,408,https://www.thegioididong.com/laptop/hp-15-fd0235tu-core-5-120u-9q970pa-120u,2023,2025-09-24 07:17:58,Intel Core 5 Raptor Lake - 120U,10,12,1.40 GHz (Lên đến 5.00 GHz khi tải nặng),Card tích hợp - Intel Iris Xe Graphics,16 GB,32 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),3200 MHz,"512 GB SSD PCIe M.2 (2280) (Có thể tháo rời, lắp thanh khác tối đa 1 TB (2280))",HD webcam,IPS,"15.6""","Chống chói Anti Glare, 250 nits",Full HD (1920 x 1080),Hãng không công bố,250 nits,Windows 11 Home SL,"3-cell Li-ion, 41 Wh",1.59 kg,Vỏ nhựa,"Wi-Fi 6 (2 x 2), Bluetooth 5.3","Jack tai nghe 3.5 mm, 2 x USB Type-A, 1 x USB Type-C (chỉ hỗ trợ truyền dữ liệu), HDMI 1.4"
325697,"Laptop Acer Gaming Nitro V ANV15 51 55CA - NH.QN8SV.004 (i5 13420H, 16GB, 512GB, RTX 4050 6GB, Full HD 144Hz, Win11)",23790000,Acer,Laptop,5.0,827,https://www.thegioididong.com/laptop/acer-nitro-v-anv15-51-55ca-i5-nhqn8sv004,2023,2025-09-24 07:18:00,Intel Core i5 Raptor Lake - 13420H,8,12,2.10 GHz (Lên đến 4.60 GHz khi tải nặng),"Card rời - NVIDIA GeForce RTX 4050, 6 GB",16 GB,32 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),5200 MHz,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",HD webcam,IPS,"15.6""","Acer ComfyView, 250 nits",Full HD (1920 x 1080),144Hz,250 nits,Windows 11 Home SL,"4-cell, 57Wh",2.1 kg,Vỏ nhựa,"Wi-Fi 802.11 a/b/g/n/ac, Bluetooth 5.1","Jack tai nghe 3.5 mm, 3 x USB 3.2, HDMI, 1 x USB Type-C (hỗ trợ USB, DisplayPort, Thunderbolt 4), LAN (RJ45)"
