id,name,price,brand,category,chipset,ram,storage,screen_size,screen_tech,screen_resolution,screen_frequency,operating_system,battery,rating,reviews_count,url,created_at,updated_at
331205,Điện thoại Samsung Galaxy A16 5G 8GB/128GB,5380000,Samsung,Smartphone,MediaTek Dimensity 6300 5G 8 nhân,8 GB,128 GB,"6.7""",Super AMOLED,Full HD+ (1080 x 2340 Pixels),90 Hz,Android 14,5000 mAh,4.9,5177,https://www.thegioididong.com/dtdd/samsung-galaxy-a16-5g-8gb-128gb,11/2024,2025-09-01 20:34:05
335917,Điện thoại Xiaomi Redmi A5 3GB/64GB,2740000,Xiaomi,Smartphone,Unisoc T7250 8 nhân,3 GB,64 GB,"6.88 """,IPS LCD,HD+ (720 x 1640 Pixels),120 Hz,Android 15,5200 mAh,4.9,32346,https://www.thegioididong.com/dtdd/xiaomi-redmi-a5-3gb-64gb,04/2025,2025-09-01 20:34:05
334169,Điện thoại Xiaomi 15 Ultra 5G 16GB/512GB,31360000,Xiaomi,Smartphone,Qualcomm Snapdragon 8 Elite 8 nhân,16 GB,512 GB,"6.73""",AMOLED,2K+ (1440 x 3200 Pixels),120 Hz,Xiaomi HyperOS 2,5410 mAh,5.0,514,https://www.thegioididong.com/dtdd/xiaomi-15-ultra,03/2025,2025-09-01 20:34:05
329676,Điện thoại Nokia HMD 105 4G,640000,Nokia,Phone,,,128 MB,"2.4""",Hãng không công bố,QQVGA (120 x 160 Pixels),,,1450 mAh,4.9,54800,https://www.thegioididong.com/dtdd/nokia-hmd-105-4g,09/2024,2025-09-01 20:34:05
331512,Điện thoại HONOR X7c 8GB/256GB,5200000,HONOR,Smartphone,Snapdragon 685 8 nhân,8 GB,256 GB,"6.77""",IPS LCD,HD+ (720 x 1610 Pixels),120 Hz,Android 14,6000 mAh,4.9,7779,https://www.thegioididong.com/dtdd/honor-x7c,11/2024,2025-09-01 20:34:05
265311,Điện thoại Masstel IZI 10,410000,Masstel,Phone,Unisoc UMS9117,48 MB,128 MB,"1.77""",TFT LCD,QQVGA (128 x 160 Pixels),,,1000 mAh,4.9,286066,https://www.thegioididong.com/dtdd/masstel-izi-10,12/2021,2025-09-01 20:34:05
240259,Điện thoại iPhone 14 128GB,13190000,iPhone (Apple),Smartphone,Apple A15 Bionic,6 GB,128 GB,"6.1""",OLED,Super Retina XDR (1170 x 2532 Pixels),60 Hz,iOS 17,3279 mAh,4.9,52853,https://www.thegioididong.com/dtdd/iphone-14,09/2022,2025-09-01 20:34:06
334930,Điện thoại Samsung Galaxy A36 5G 12GB/256GB,9310000,Samsung,Smartphone,Snapdragon 6 Gen 3 8 nhân,12 GB,256 GB,"6.7""",Super AMOLED,Full HD+ (1080 x 2340 Pixels),120 Hz,Android 15,5000 mAh,4.9,6407,https://www.thegioididong.com/dtdd/samsung-galaxy-a36,03/2025,2025-09-01 20:34:06
335638,Điện thoại Xiaomi Redmi 13x 8GB/128GB,4210000,Xiaomi,Smartphone,MediaTek Helio G91 Ultra 8 nhân,8 GB,128 GB,"6.79""",IPS LCD,Full HD+ (1080 x 2460 Pixels),90 Hz,Xiaomi HyperOS (Android 14),5030 mAh,4.9,33117,https://www.thegioididong.com/dtdd/xiaomi-redmi-13x,03/2025,2025-09-01 20:34:06
338737,Điện thoại Samsung Galaxy Z Flip7 5G 12GB/512GB,30990000,Samsung,Smartphone,Exynos 2500 10 nhân,12 GB,512 GB,"6.9""","Chính: Dynamic AMOLED 2X, Phụ: Super AMOLED",Chính: Full HD+ (1080 x 2520 Pixels) & Phụ: 948 x 1048 Pixels,120 Hz,Android 16,4300 mAh,5.0,66,https://www.thegioididong.com/dtdd/samsung-galaxy-z-flip7-512gb,07/2025,2025-09-01 20:34:07
