id,name,price,brand,category,screen_size,screen_tech,screen_resolution,screen_frequency,power_consumption,ports,rating,reviews_count,url,created_at,updated_at
320477,Màn hình Dell Ultrasharp U3223QE 32 inch 4K/IPS/60Hz/5ms,18690000,Dell,Screen,"32""",IPS,UHD (3840 x 2160),60 Hz,29.4 W,1 x LAN (RJ45),5.0,3,https://www.thegioididong.com/man-hinh-may-tinh/dell-ultrasharp-u3223qe-32-inch-4k,2022,2025-09-01 23:32:44
339564,Màn hình Dell Pro Plus P2725D 27 inch 2K/IPS/100Hz/5ms,7190000,Dell,Screen,27 inch,IPS,QHD (2560 x 1440),100 Hz,18.8W,1 x USB-C 5 Gbps downstream,5.0,6,https://www.thegioididong.com/man-hinh-may-tinh/dell-pro-plus-p2725d-27-inch-2k-ips-100hz-5ms,2025,2025-09-01 23:32:51
334381,Màn hình Gaming Acer Nitro KG240Y X1 23.8 inch FHD/IPS/200Hz/4ms,2890000,Acer,Screen,23.8 inch,IPS,Full HD (1920 x 1080),200 Hz,18W,2 x HDMI 2.0,5.0,167,https://www.thegioididong.com/man-hinh-may-tinh/acer-nitro-kg240y-x1-23-8-inch-fhd-ips-200hz-4ms,2024,2025-09-01 23:32:51
342556,"Màn hình Lenovo L27qe (27 inch 2K, IPS, 100Hz, 6ms)",2990000,Lenovo,Screen,27 inch,IPS,WQHD (2560 x 1440),100 Hz,43,1 x HDMI 2.1,5.0,3,https://www.thegioididong.com/man-hinh-may-tinh/man-hinh-lenovo-l27qe-27-inch-2k-ips-100hz-6ms,2025,2025-09-01 23:32:53
324060,Màn hình Gaming Xiaomi G34WQi 34 inch 3K/VA/180Hz/1ms/DisplayPort,6890000,Xiaomi,Screen,34 inch,VA,3K (3440 x 1440),180 Hz,65 W,2 x HDMI 2.0,5.0,129,https://www.thegioididong.com/man-hinh-may-tinh/xiaomi-g34wqi-34-inch-3k,2024,2025-09-01 23:32:54
324058,Màn hình MSI Pro MP225 21.45 inch FHD/IPS/100Hz/1ms/HDMI,1590000,MSI,Screen,"21.45""",IPS,Full HD (1920 x 1080),100 Hz,15 W,1 x Headphone-out,4.9,2245,https://www.thegioididong.com/man-hinh-may-tinh/msi-pro-mp225-2145-inch-fhd,2023,2025-09-01 23:32:56
342212,Màn hình Gaming Samsung Odyssey G3 LS27DG302EEXXV 27 inch Full HD/VA/180Hz/1ms/,3790000,Samsung,Screen,27 inch,VA,Full HD (1920 x 1080),180 Hz,35w,1 x DisplayPort,5.0,4,https://www.thegioididong.com/man-hinh-may-tinh/samsung-odyssey-ls27dg302eexxv-27-inch-full-hd,2024,2025-09-01 23:32:59
321396,Màn hình Xiaomi A27i 27 inch FHD/IPS/100Hz/6ms/HDMI (ELA5345EU),2490000,Xiaomi,Screen,27 inch,IPS,Full HD (1920 x 1080),100 Hz,24 W,1 x DisplayPort,4.9,5234,https://www.thegioididong.com/man-hinh-may-tinh/xiaomi-a27i-27-inch-fhd,2023,2025-09-01 23:33:03
334003,Màn hình MSI PRO MP252L 24.5 inch FHD/IPS/100Hz/1ms,1990000,MSI,Screen,24.5 inch,IPS,Full HD (1920 x 1080),100 Hz,24W,1 x DisplayPort 1.2a,4.9,1536,https://www.thegioididong.com/man-hinh-may-tinh/msi-pro-mp252l-24-5-inch-fhd-ips-100hz-1ms,2024,2025-09-01 23:33:05
321397,Màn hình Gaming Xiaomi G27i 27 inch FHD/IPS/165Hz/1ms/FreeSync/HDMI,3190000,Xiaomi,Screen,27 inch,IPS,Full HD (1920 x 1080),165 Hz,36 W,1 x DisplayPort,5.0,1143,https://www.thegioididong.com/man-hinh-may-tinh/xiaomi-g27i-27-inch-fhd,2024,2025-09-01 23:33:06
