sku,name,price,brand,category,rating,reviews_count,url,release_date,screen_type,screen_panel,screen_size,screen_tech,screen_res,screen_rate,power_consumption,ports,weight,updated_at
331656,Màn hình Dell P2725H 27 inch FHD/IPS/100Hz/5ms,5590000,Dell,Screen,5.0,164,https://www.thegioididong.com/man-hinh-may-tinh/dell-p2725h-27-inch-fhd-ips-100hz-5ms,2024,Phẳng,IPS,27 inch,"Công nghệ chống nháy - Flicker-free, ComfortView Plus",Full HD (1920 x 1080),100 Hz,65 W,"1 x USB 3.2 Type-B upstream, 3 x USB 3.2 Type-A downstream, 1 x USB 3.2 Type-C downstream (PD of up to 15W), 1 x HDMI 1.4, 1 x DisplayPort 1.2, 1 x D-Sub (VGA)",6.05 kg,2025-09-09 11:47:33
337314,Màn hình Gaming MSI MAG 255F-E20 24.5 inch FHD/Rapid IPS/200Hz/0.5ms,2990000,MSI,Screen,5.0,291,https://www.thegioididong.com/man-hinh-may-tinh/msi-mag-255f-e20-24-5-inch-fhd-rapid-ips-200hz-0-5ms,2025,Phẳng,Rapid IPS,24.5 inch,"HDR Ready, AMD FreeSync Premium",Full HD (1920 x 1080),200 Hz,18W,"1 x DisplayPort 1.2a, 2 x HDMI 2.0b, 1 x Headphone-out",5.13 kg,2025-09-09 11:47:33
339093,Màn hình SingPC P27F100-IPS 27 inch FHD/IPS/100Hz/5ms,1990000,SingPC,Screen,5.0,170,https://www.thegioididong.com/man-hinh-may-tinh/singpc-p27f100-ips-27-inch-fhd-ips-100hz-5ms,2025,Phẳng,IPS,27 inch,Less Blue Light,Full HD (1920 x 1080),100 Hz,36W,"1 x HDMI, 1 x VGA",3.4 kg,2025-09-09 11:47:33
333566,Màn hình Viewsonic VA2708-2K-MHD 27 inch 2K/IPS/100Hz/1ms,3690000,Viewsonic,Screen,5.0,523,https://www.thegioididong.com/man-hinh-may-tinh/man-hinh-viewsonic-va2708-2k-mhd-27-inch-2k-ips-100hz-1ms,2024,Phẳng,IPS,27 inch,"Eye Protech+, Công nghệ chống nháy - Flicker-free, Lọc ánh sáng xanh, HDR10, Adaptive-Sync",QHD (2560 x 1440),100 Hz,30W,"1 x DisplayPort, 2 x HDMI 2.0, 1 x Jack tai nghe 3.5 mm",4.1 kg,2025-09-09 11:47:33
328849,Màn hình MSI PRO MP251 E2 24.5 inch FHD/IPS/120Hz/1ms,2290000,MSI,Screen,4.9,1959,https://www.thegioididong.com/man-hinh-may-tinh/msi-pro-mp251-e2-24-5-inch-fhd,2024,Phẳng,IPS,24.5 inch,"Adaptive Sync, Eyesergo, Chống chói Anti-Glare",Full HD (1920 x 1080),120 Hz,18W,"1 x Line-in, 1 x Headphone-out, 1 x HDMI 2.0, 1 x DisplayPort 1.4, 1 x D-Sub (VGA)",4.9 kg,2025-09-09 11:47:33
331654,Màn hình Dell P2425H 23.8 inch FHD/IPS/100Hz/5ms,4690000,Dell,Screen,5.0,259,https://www.thegioididong.com/man-hinh-may-tinh/dell-p2425h-23-8-inch-fhd-ips-100hz-5ms,2024,Phẳng,IPS,23.8 inch,"Công nghệ chống nháy - Flicker-free, ComfortView Plus",Full HD (1920 x 1080),100 Hz,65 W,"1 x USB 3.2 Type-B upstream, 3 x USB 3.2 Type-A downstream, 1 x USB 3.2 Type-C downstream (PD of up to 15W), 1 x HDMI 1.4, 1 x DisplayPort 1.2, 1 x D-Sub (VGA)",4.98 kg,2025-09-09 11:47:33
329690,Màn hình MSI PRO MP223 E2 21.45 inch FHD/VA/100Hz/1ms,1590000,MSI,Screen,5.0,3121,https://www.thegioididong.com/man-hinh-may-tinh/msi-pro-mp223-e2-21-45-inch-fhd-va-100hz-1ms,2024,Phẳng,VA,"21.45""","Công nghệ chống nháy - Flicker-free, Giảm ánh sáng xanh",Full HD (1920 x 1080),100 Hz,15W,"1 x Headphone-out, 1 x HDMI 1.4, 1 x DisplayPort 1.2",3.46 kg,2025-09-09 11:47:33
341850,Màn hình Gaming AOC AG276QSD/79 26.5 inch 2K/QD-OLED/360Hz/0.01ms,16490000,AOC,Screen,,,https://www.thegioididong.com/man-hinh-may-tinh/aoc-ag276qsd-79-26-5-inch-2k-qd-oled-360hz-0-01ms,2025,Phẳng,QD-OLED,26.5 inch,"Công nghệ chống nháy - Flicker-free, RoHS, G-SYNC, DisplayHDR 400",QHD (2560 x 1440),360 Hz,78W,"1 x Jack tai nghe 3.5 mm, 2 x HDMI 2.1, 2 x USB 3.2, 2 x DisplayPort 1.4",6.7 kg,2025-09-09 11:47:33
334003,Màn hình MSI PRO MP252L 24.5 inch FHD/IPS/100Hz/1ms,1990000,MSI,Screen,4.9,1697,https://www.thegioididong.com/man-hinh-may-tinh/msi-pro-mp252l-24-5-inch-fhd-ips-100hz-1ms,2024,Phẳng,IPS,24.5 inch,"HDR Ready, Chống chói Anti-Glare, Adaptive-Sync",Full HD (1920 x 1080),100 Hz,24W,"1 x DisplayPort 1.2a, 1 x Headphone-out, 1 x HDMI 1.4b",1.967 kg,2025-09-09 11:47:33
335640,Màn hình Dell E2725H 27 inch FHD/VA/60Hz/5ms,3590000,Dell,Screen,5.0,49,https://www.thegioididong.com/man-hinh-may-tinh/dell-e2725h-27-inch-fhd-va-60hz-5ms,2024,Phẳng,VA,27 inch,,Full HD (1920 x 1080),60 Hz,30W,"1 x DisplayPort 1.2 (HDCP 1.4) (hỗ trợ lên đến FHD 1920 x 1080 75 Hz), 1 x D-Sub (VGA)",4.84 kg,2025-09-09 11:47:33
