sku,name,price,brand,category,rating,reviews_count,url,release_date,updated_at,screen_type,screen_panel,screen_size,screen_tech,screen_res,screen_rate,power_consumption,ports,weight
324058,Màn hình MSI Pro MP225 21.45 inch FHD/IPS/100Hz/1ms/HDMI,0,MSI,Screen,4.9,2293,https://www.thegioididong.com/man-hinh-may-tinh/msi-pro-mp225-2145-inch-fhd,2023,2025-09-27 01:34:51,Phẳng,IPS,"21.45""","Công nghệ chống nháy - Flicker-free, Giảm ánh sáng xanh, Eyesergo, Chống chói Anti-Glare, Adaptive-Sync",Full HD (1920 x 1080),100 Hz,15 W,"1 x Headphone-out, 1 x HDMI 1.4, 1 x D-Sub (VGA)",2.3 kg
333733,Màn hình MSI PRO MP275 E2 27 inch FHD/IPS/120Hz/1ms,2590000,MSI,Screen,4.9,792,https://www.thegioididong.com/man-hinh-may-tinh/msi-pro-mp275-e2-27-inch-fhd-ips-120hz-1ms,2024,2025-09-27 01:34:52,Phẳng,IPS,27 inch,"Eye-Q Check, Eyesergo",Full HD (1920 x 1080),120 Hz,21W,"1 x Line-in, 1 x Headphone-out, 1 x HDMI 2.0, 1 x DisplayPort 1.2, 1 x D-Sub (VGA)",3.854 kg
336402,Màn hình Gaming Asus TUF VG249QE5A 23.8 inch FHD/IPS/146Hz/1ms,2590000,Asus,Screen,4.9,395,https://www.thegioididong.com/man-hinh-may-tinh/asus-vg249qe5a-23-8-inch-fhd-ips-146hz-1ms,2025,2025-09-27 01:34:52,Phẳng,IPS,23.8 inch,"DisplayWidget Center, Shadow Boost, HDCP, GameVisual, Nhiệt độ màu (4 chế độ), GamePlus, ASUS Extreme Low Motion Blur, ELMB Sync, Low Blue Light, Adaptive-Sync",Full HD (1920 x 1080),146 Hz,15W,"1 x 3.5 mm mini-jack, 1 x HDMI 2.0, 1 x DisplayPort 1.2",3.3 kg
331922,Màn hình Gaming LG UltraGear 27GS60F-B.ATV 27 inch FHD/IPS/180Hz/1ms,0,LG,Screen,5.0,120,https://www.thegioididong.com/man-hinh-may-tinh/lg-27gs60f-b-atv-27-inch-fhd-ips-180hz-1ms,2024,2025-09-27 01:34:55,Phẳng,IPS,27 inch,"HDR Effect, AMD FreeSync, HDR10, G-Sync Compatible",Full HD (1920 x 1080),180 Hz,22W,"1 x DisplayPort, 1 x Headphone out 3-Pole (Sound only), 1 x HDMI",5.8 kg
322529,Màn hình Samsung ViewFinity S5 S50GC LS34C500GAEXXV 34 inch 3K/VA/100Hz/5ms/HDMI,6450000,Samsung,Screen,5.0,98,https://www.thegioididong.com/man-hinh-may-tinh/samsung-viewfinity-s5-s50gc-ls34c500gaexxv-34-inch-3k,2024,2025-09-27 01:34:57,Phẳng,VA,34 inch,"Eye Saver Mode, Công nghệ chống nháy - Flicker-free, Adaptive Picture, Eco Saving Plus, Chế độ chơi Game, AMD FreeSync, HDR10",3K (3440 x 1440),100 Hz,59 W,"2 x HDMI 2.0, 1 x Jack tai nghe 3.5 mm, 1 x DisplayPort 1.2",4.9 kg
342369,Màn hình Gaming Asus TUF VG279QM5A 27 inch FHD/IPS/240Hz/0.3ms,4390000,Asus,Screen,5.0,11,https://www.thegioididong.com/man-hinh-may-tinh/asus-gaming-tuf-27-inch-full-hd-vg279qm5a,2025,2025-09-27 01:34:59,Phẳng,Fast IPS,27 inch,"HDCP 2.3, DisplayWidget Center, Shadow Boost, GameVisual, GameFast Input, Nhiệt độ màu (4 chế độ), Công nghệ Trace Free, GamePlus, ASUS Extreme Low Motion Blur, Low Blue Light, ELMB Sync, Adaptive-Sync",Full HD (1920 x 1080),240 Hz,18W,"2 x HDMI 2.0, 1 x DisplayPort 1.4, 1 x Earphone Jack",4.5 kg
341851,Màn hình AOC 24B36X/71 23.8 inch FHD/IPS/144Hz/0.5ms,2390000,AOC,Screen,5.0,4,https://www.thegioididong.com/man-hinh-may-tinh/man-hinh-aoc-24b36x-71-23-8-inch-fhd-ips-144hz-0-5ms,2025,2025-09-27 01:35:01,Phẳng,IPS,23.8 inch,RoHS,Full HD (1920 x 1080),144 Hz,18W,"1 x HDMI 1.4, 1 x DisplayPort 1.4",2.52 kg
335639,Màn hình Dell UltraSharp U2424H 23.8 inch FHD/IPS/120Hz/5ms,5250000,Dell,Screen,5.0,259,https://www.thegioididong.com/man-hinh-may-tinh/dell-ultrasharp-u2424h-23-8-inch-fhd-ips-120hz-5ms,2024,2025-09-27 01:35:02,Phẳng,IPS,23.8 inch,"Chống ánh sáng xanh, Daisy Chain, Sai lệch màu Delta E< 2",Full HD (1920 x 1080),120 Hz,72W,"1 x USB Type-A downstream (USB SuperSpeed ​​10 Gbps, USB 3.2 Gen 2) với sạc nguồn BC1.2, 1 x Audio Out, 1 x DisplayPort 1.4 (Đầu ra) với MST (HDCP 1.4), 1 x HDMI (HDCP 1.4) (hỗ trợ lên đến FHD 1920 x 1080 120Hz TMDS theo quy định trong HDMI 1.4), 1 x USB Type-C upstream (chỉ dữ liệu, SuperSpeed ​​USB 10 Gbps, USB 3.2 Gen 2), 1 x USB Type-C downstream (USB SuperSpeed ​​10 Gbps, USB 3.2 Gen 2) có sạc nguồn (15W), 2 x USB Type-A downstream (USB SuperSpeed ​​10 Gbps, USB 3.2 Gen 2), 1 x DisplayPort 1.4 (DRR cho Microsoft Windows) (HDCP 1.4)",5.38 kg
335630,Màn hình Gaming GIGABYTE GS27FA 27 inch FHD/IPS/180Hz/1ms,2990000,GIGABYTE,Screen,5.0,133,https://www.thegioididong.com/man-hinh-may-tinh/gigabyte-gs27fa-27fhd-ips-180hz-1ms,2024,2025-09-27 01:35:03,Phẳng,IPS,27 inch,"Giảm ánh sáng xanh, Freesync",Full HD (1920 x 1080),180 Hz,23W,"2 x HDMI 2.0, 1 x DisplayPort 1.4, 1 x Earphone Jack",5.02 kg
331656,Màn hình Dell P2725H 27 inch FHD/IPS/100Hz/5ms,5490000,Dell,Screen,5.0,185,https://www.thegioididong.com/man-hinh-may-tinh/dell-p2725h-27-inch-fhd-ips-100hz-5ms,2024,2025-09-27 01:35:08,Phẳng,IPS,27 inch,"Công nghệ chống nháy - Flicker-free, ComfortView Plus",Full HD (1920 x 1080),100 Hz,65 W,"1 x USB 3.2 Type-B upstream, 3 x USB 3.2 Type-A downstream, 1 x USB 3.2 Type-C downstream (PD of up to 15W), 1 x HDMI 1.4, 1 x DisplayPort 1.2, 1 x D-Sub (VGA)",6.05 kg
