id,name,price,brand,category,chipset,ram,storage,screen_size,screen_tech,screen_resolution,screen_frequency,operating_system,battery,rating,reviews_count,url,created_at,updated_at
333360,Điện thoại Samsung Galaxy S25 Plus 5G 12GB/512GB,24440000,Samsung,Smartphone,,,,,,,,,,5.0,657,https://www.thegioididong.com/dtdd/samsung-galaxy-s25-plus-512gb,01/2025,2025-08-31 18:48:29
329135,Điện thoại iPhone 16 128GB,18890000,iPhone (Apple),Smartphone,,,,,,,,,,4.9,18486,https://www.thegioididong.com/dtdd/iphone-16,09/2024,2025-08-31 18:48:29
339243,Điện thoại HONOR 400 5G 12GB/256GB Vàng,13050000,HONOR,Smartphone,,,,,,,,,,5.0,197,https://www.thegioididong.com/dtdd/honor-400,06/2025,2025-08-31 18:48:29
320336,Điện thoại Xiaomi 15 5G 12GB/512GB,23000000,Xiaomi,Smartphone,,,,,,,,,,4.9,1025,https://www.thegioididong.com/dtdd/xiaomi-15,03/2025,2025-08-31 18:48:29
329676,Điện thoại Nokia HMD 105 4G,640000,Nokia,Phone,,,,,,,,,,4.9,54800,https://www.thegioididong.com/dtdd/nokia-hmd-105-4g,09/2024,2025-08-31 18:48:30
332937,Điện thoại OPPO Reno13 Pro 5G 12GB/512GB,18650000,OPPO,Smartphone,,,,,,,,,,4.9,4687,https://www.thegioididong.com/dtdd/oppo-reno13-pro-5g,01/2025,2025-08-31 18:48:30
329940,Điện thoại Xiaomi 14T Pro 5G 12GB/256GB,16490000,Xiaomi,Smartphone,,,,,,,,,,4.9,11448,https://www.thegioididong.com/dtdd/xiaomi-14t-pro-5g-12gb-256gb,09/2024,2025-08-31 18:48:30
335234,Điện thoại Samsung Galaxy A06 5G 6GB/128GB,4210000,Samsung,Smartphone,,,,,,,,,,4.9,61510,https://www.thegioididong.com/dtdd/samsung-galaxy-a06-5g-6gb-128gb,03/2025,2025-08-31 18:48:30
323544,Điện thoại OPPO A60 8GB/256GB,6380000,OPPO,Smartphone,,,,,,,,,,4.9,100468,https://www.thegioididong.com/dtdd/oppo-a60-256gb,04/2024,2025-08-31 18:48:30
281570,Điện thoại iPhone 15 128GB,15490000,iPhone (Apple),Smartphone,,,,,,,,,,4.9,91248,https://www.thegioididong.com/dtdd/iphone-15,09/2023,2025-08-31 18:48:30
329008,Điện thoại Xiaomi Redmi 14C 6GB/128GB,3230000,Xiaomi,Smartphone,,,,,,,,,,4.9,62559,https://www.thegioididong.com/dtdd/xiaomi-redmi-14c-6gb-128gb,08/2024,2025-08-31 18:48:31
333352,Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/1TB,34180000,Samsung,Smartphone,,,,,,,,,,5.0,901,https://www.thegioididong.com/dtdd/samsung-galaxy-s25-ultra-1tb,01/2025,2025-08-31 18:48:31
322789,Điện thoại Samsung Galaxy S24 FE 5G 8GB/128GB,12990000,Samsung,Smartphone,,,,,,,,,,4.9,6020,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-fe,09/2024,2025-08-31 18:48:32
332255,Điện thoại HONOR Magic V3 5G 12GB/512GB,29990000,HONOR,Smartphone,,,,,,,,,,5.0,105,https://www.thegioididong.com/dtdd/honor-magic-v3,12/2024,2025-08-31 18:48:32
329959,Điện thoại vivo V40 Lite 8GB/256GB,8340000,vivo,Smartphone,,,,,,,,,,4.9,37378,https://www.thegioididong.com/dtdd/vivo-v40-lite-8gb-256gb,10/2024,2025-08-31 18:48:33
335916,Điện thoại Samsung Galaxy A26 5G 8GB/128GB,6270000,Samsung,Smartphone,,,,,,,,,,5.0,1397,https://www.thegioididong.com/dtdd/samsung-galaxy-a26-8gb-128gb,04/2025,2025-08-31 18:48:33
335583,Điện thoại Xiaomi Redmi Note 14 5G 8GB/256GB,6860000,Xiaomi,Smartphone,,,,,,,,,,4.9,6884,https://www.thegioididong.com/dtdd/xiaomi-redmi-note-14-5g,03/2025,2025-08-31 18:48:33
335792,Điện thoại HONOR X8c 8GB/256GB,6500000,HONOR,Smartphone,,,,,,,,,,4.9,3344,https://www.thegioididong.com/dtdd/honor-x8c,04/2025,2025-08-31 18:48:33
323567,Điện thoại vivo V30e 5G 8GB/256GB,8620000,vivo,Smartphone,,,,,,,,,,4.9,8666,https://www.thegioididong.com/dtdd/vivo-v30e-8gb,05/2024,2025-08-31 18:48:33
334930,Điện thoại Samsung Galaxy A36 5G 12GB/256GB,9310000,Samsung,Smartphone,,,,,,,,,,4.9,6407,https://www.thegioididong.com/dtdd/samsung-galaxy-a36,03/2025,2025-08-31 18:48:33
335925,Điện thoại Samsung Galaxy S25 Edge 5G 12GB/256GB,23490000,Samsung,Smartphone,,,,,,,,,,5.0,417,https://www.thegioididong.com/dtdd/samsung-galaxy-s25-edge-5g,05/2025,2025-08-31 18:48:35
