sku,name,price,brand,category,rating,reviews_count,url,release_date,cpu,cpu_speed,gpu,ram,storage,rearcam_specs,frontcam_specs,screen_size,screen_panel,screen_res,screen_rate,os,water_resistant,battery,charger,weight,material,connectivity,network,ports,updated_at
315590,Máy tính bảng Samsung Galaxy Tab A9+ WiFi 4GB/64GB,4890000,Samsung,Tablet,4.9,7229,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-a9-plus,10/2023,Snapdragon 695,2.2 GHz,Adreno 619,4 GB,64 GB,8 MP,5 MP,"11""",TFT LCD,1200 x 1920 Pixels,90 Hz,Android 13,,7040 mAh,15 W,480 g,Nhôm nguyên khối,"Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac, Dual-band, v5.1",,3.5 mm,2025-09-04 23:08:33
343062,Máy tính bảng Samsung Galaxy Tab S10 Lite WiFi 6GB/128GB,8990000,Samsung,Tablet,,,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s10-lite-wifi-6gb-128gb,09/2025,Exynos 1380 8 nhân,4 nhân 2.4 GHz & 4 nhân 2 GHz,Mali-G68 MP5,6 GB,128 GB,8 MP,5 MP,"10.9""",TFT LCD,1320 x 2112 Pixels,90 Hz,Android 15,IP42,8000 mAh,25 W,523 g,Nhôm nguyên khối,"v5.3, Wi-Fi 6, MIMO, Dual-band",,Type-C,2025-09-04 23:08:33
335268,Máy tính bảng iPad Air M3 11 inch WiFi 256GB,17590000,iPad (Apple),Tablet,5.0,825,https://www.thegioididong.com/may-tinh-bang/ipad-air-m3-11-inch-wifi-256gb,03/2025,Apple M3 8 nhân,Hãng không công bố,Apple GPU 9 nhân,8 GB,256 GB,12 MP,12 MP,"11""",Retina IPS LCD,1640 x 2360 Pixels,"11"" - Tần số quét Hãng không công bố",iPadOS 18,,28.93 Wh,20 W,460 g,Nhôm nguyên khối,"Wi-Fi 6E, MIMO, Dual-band, v5.3",,Type-C,2025-09-04 23:08:33
334992,Máy tính bảng Lenovo Tab WiFi 4GB/64GB,3300000,Lenovo,Tablet,5.0,162,https://www.thegioididong.com/may-tinh-bang/lenovo-tab-wifi,11/2024,MediaTek Helio G85 8 nhân,2 nhân 2.0 GHz & 6 nhân 1.8 GHz,Mali-G52 MC2,4 GB,64 GB,8 MP,5 MP,"10.1""",IPS LCD,1200 x 1920 Pixels,60 Hz,Android 14,IP52,5100 mAh,15 W,425 g,Kim loại nguyên khối,"Wi-Fi 5, v5.3",,3.5 mm,2025-09-04 23:08:33
325534,Máy tính bảng iPad Pro M4 13 inch 5G 256GB,38690000,iPad (Apple),Tablet,5.0,281,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m4-13-inch-wifi-cellular-256gb,05/2024,Apple M4 9 nhân,Hãng không công bố,Apple GPU 10 nhân,8 GB,256 GB,12 MP,12 MP,"13""",Ultra Retina XDR,2064 x 2752 Pixels,120 Hz,iPadOS 17,,38.99 Wh,20 W,582 g,Nhôm nguyên khối,"v5.3, Wi-Fi hotspot, Wi-Fi 6E, MIMO, Dual-band",5G,Type-C,2025-09-04 23:08:33
327293,Máy tính bảng Lenovo Tab Plus WiFi 8GB/256GB,7550000,Lenovo,Tablet,4.9,655,https://www.thegioididong.com/may-tinh-bang/lenovo-tab-plus-wifi-8gb-256gb,07/2024,MediaTek Helio G99,2 nhân 2.2 GHz & 6 nhân 2 GHz,Mali-G57 MC2,8 GB,256 GB,8 MP,8 MP,"11.5""",IPS LCD,1200 x 2000 Pixels,90 Hz,Android 14,IP52,8600 mAh,45 W,650 g,Nhôm nguyên khối,"Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac, Dual-band, v5.2",,3.5 mm,2025-09-04 23:08:33
335279,Máy tính bảng iPad Air M3 13 inch 5G 128GB,24790000,iPad (Apple),Tablet,5.0,52,https://www.thegioididong.com/may-tinh-bang/ipad-air-m3-13-inch-5g-128gb,03/2025,Apple M3 8 nhân,Hãng không công bố,Apple GPU 9 nhân,8 GB,128 GB,12 MP,12 MP,"13""",Retina IPS LCD,2048 x 2732 Pixels,"13"" - Tần số quét Hãng không công bố",iPadOS 18,,36.59 Wh,20 W,617 g,Nhôm nguyên khối,"Wi-Fi 6E, MIMO, Dual-band, v5.3",5G,Type-C,2025-09-04 23:08:33
339380,Máy tính bảng Samsung Galaxy Tab S10 FE WiFi 12GB/256GB,11790000,Samsung,Tablet,5.0,148,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s10-fe-12gb-256gb,04/2025,Exynos 1580 8 nhân,2.9 GHz,Xclipse 540,12 GB,256 GB,13 MP,12 MP,"10.9""",TFT LCD,1440 x 2304 Pixels,90 Hz,Android 15,IP68,8000 mAh,45 W,497 g,Nhôm nguyên khối,"Wi-Fi Direct, Wi-Fi 6, MIMO, Dual-band, v5.3",,Type-C,2025-09-04 23:08:33
325988,Máy tính bảng Xiaomi Redmi Pad Pro WiFi 6GB/128GB,6960000,Xiaomi,Tablet,4.9,16996,https://www.thegioididong.com/may-tinh-bang/xiaomi-redmi-pad-pro-6gb-128gb,06/2024,Snapdragon 7s Gen 2 8 nhân,4 nhân 2.3 GHz & 4 nhân 1.95 GHz,Adreno 710,6 GB,128 GB,8 MP,8 MP,"12.1""",IPS LCD,1600 x 2560 Pixels,120 Hz,Xiaomi HyperOS (Android 14),,10000 mAh,33 W,571 g,Kim loại nguyên khối,"Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi 6, MIMO, Dual-band, v5.2",,3.5 mm,2025-09-04 23:08:33
339204,Máy tính bảng Xiaomi Redmi Pad 2 WiFi 4GB/128GB,5200000,Xiaomi,Tablet,5.0,2193,https://www.thegioididong.com/may-tinh-bang/xiaomi-redmi-pad-2-wifi-4gb-128gb,06/2025,MediaTek Helio G100-Ultra 8 nhân,2 nhân 2.2 GHz & 6 nhân 2 GHz,Mali-G57 MC2,4 GB,128 GB,8 MP,5 MP,"11""",IPS LCD,1600 x 2560 Pixels,90 Hz,Xiaomi HyperOS 2,,9000 mAh,18 W,519 g,Kim loại nguyên khối,"Wi-Fi 5, Dual-band, v5.3",,3.5 mm,2025-09-04 23:08:33
328523,Máy tính bảng Xiaomi Redmi Pad SE 8.7 4G 4GB/128GB,4900000,Xiaomi,Tablet,5.0,2605,https://www.thegioididong.com/may-tinh-bang/redmi-pad-se-8-7-4g-4gb-128gb,08/2024,MediaTek Helio G85 8 nhân,2 nhân 2.0 GHz & 6 nhân 1.8 GHz,Mali-G52 MC2,4 GB,128 GB,8 MP,5 MP,"8.7""",IPS LCD,800 x 1340 Pixels,90 Hz,Android 14,,6650 mAh,18 W,375 g,Nhựa nguyên khối,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, v5.3",Hỗ trợ 4G,3.5 mm,2025-09-04 23:08:33
335275,Máy tính bảng iPad Air M3 13 inch WiFi 128GB,20790000,iPad (Apple),Tablet,5.0,343,https://www.thegioididong.com/may-tinh-bang/ipad-air-m3-13-inch-wifi-128gb,03/2025,Apple M3 8 nhân,Hãng không công bố,Apple GPU 9 nhân,8 GB,128 GB,12 MP,12 MP,"13""",Retina IPS LCD,2048 x 2732 Pixels,"13"" - Tần số quét Hãng không công bố",iPadOS 18,,36.59 Wh,20 W,616 g,Nhôm nguyên khối,"Wi-Fi 6E, MIMO, Dual-band, v5.3",,Type-C,2025-09-04 23:08:33
335311,Máy tính bảng iPad A16 5G 128GB,12890000,iPad (Apple),Tablet,5.0,907,https://www.thegioididong.com/may-tinh-bang/ipad-11-5g-128gb,03/2025,Apple A16 5 nhân,Hãng không công bố,Apple GPU 4 nhân,6 GB,128 GB,12 MP,12 MP,"11""",Retina IPS LCD,1640 x 2360 Pixels,60 Hz,iPadOS 18,,28.93 Wh,20 W,481 g,Nhôm nguyên khối,"v5.3, Wi-Fi 6, MIMO, Dual-band",5G,Type-C,2025-09-04 23:08:33
331230,Máy tính bảng iPad mini 7 WiFi 256GB,14190000,iPad (Apple),Tablet,5.0,741,https://www.thegioididong.com/may-tinh-bang/ipad-mini-7-wifi-256gb,10/2024,Apple A17 Pro 6 nhân,3.78 GHz,Apple GPU 5 nhân,8 GB,256 GB,12 MP,12 MP,"8.3""",LED-backlit IPS LCD,1488 x 2266 Pixels,"8.3"" - Tần số quét Hãng không công bố",iPadOS 18,,19.3 Wh,20 W,293 g,Nhôm nguyên khối,"Wi-Fi 6E, MIMO, iBeacon, Dual-band, v5.3",,,2025-09-04 23:08:33
334529,Máy tính bảng Xiaomi Pad 7 WiFi 8GB/128GB,10100000,Xiaomi,Tablet,5.0,288,https://www.thegioididong.com/may-tinh-bang/xiaomi-pad-7,03/2025,Snapdragon 7+ Gen 3 8 nhân,2.8 GHz,Andreno 732,8 GB,128 GB,13 MP,8 MP,"11.2""",IPS LCD,2136 x 3200 Pixels,144 Hz,Xiaomi HyperOS 2,,8850 mAh,45 W,500 g,Nhôm nguyên khối,"Wi-Fi Direct, Wi-Fi 6E, Wi-Fi 6, Dual-band, v5.4",,Type-C,2025-09-04 23:08:33
340147,Máy tính bảng Masstel Tab 11 Ultra 4G 8GB/256GB,5090000,Masstel,Tablet,5.0,23,https://www.thegioididong.com/may-tinh-bang/masstel-tab-11-ultra-8gb-256gb,06/2025,Unisoc T606 8 nhân,1.6 GHz,Mali-G57,8 GB,256 GB,13 MP,5 MP,"10.95""",IPS LCD,1200 x 1920 Pixels,60 Hz,Android 15,,8000 mAh,18 W,500 g,Khung nhựa & Mặt lưng nhôm,"OTG, Có",Hỗ trợ 4G,Type-C,2025-09-04 23:08:33
339285,Máy tính bảng OPPO Pad SE WiFi 4GB/128GB,5400000,OPPO,Tablet,5.0,731,https://www.thegioididong.com/may-tinh-bang/oppo-pad-se-wifi-4gb-128gb,07/2025,MediaTek Helio G100 8 nhân,2 nhân 2.2 GHz & 6 nhân 2 GHz,Mali-G57 MC2,4 GB,128 GB,5 MP,5 MP,"11.35""",IPS LCD,1200 x 2000 Pixels,90 Hz,Android 15,IPX2,9340 mAh,33 W,530 g,Khung nhựa & Mặt lưng hợp kim nhôm,"OTG, Wi-Fi Display, Wi-Fi 802.11 a/b/g/n, Wi-Fi 5, Dual-band, v5.0",,Type-C,2025-09-04 23:08:33
340148,Máy tính bảng Masstel Tab 11 Ultra 4G 4GB/128GB,3990000,Masstel,Tablet,5.0,107,https://www.thegioididong.com/may-tinh-bang/masstel-tab-11-ultra-4gb-128gb,06/2025,Unisoc T606 8 nhân,1.6 GHz,Mali-G57,4 GB,128 GB,13 MP,5 MP,"10.95""",IPS LCD,1200 x 1920 Pixels,60 Hz,Android 15,,8000 mAh,18 W,500 g,Khung nhựa & Mặt lưng nhôm,"OTG, Có",Hỗ trợ 4G,Type-C,2025-09-04 23:08:33
333481,Máy tính bảng Samsung Galaxy Tab A9+ WiFi 8GB/128GB,6870000,Samsung,Tablet,4.9,4597,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-a9-plus-wifi-8gb-128gb,12/2024,Snapdragon 695,2.2 GHz,Adreno 619,8 GB,128 GB,8 MP,5 MP,"11""",TFT LCD,1200 x 1920 Pixels,90 Hz,Android 14,,7040 mAh,15 W,480 g,Nhôm nguyên khối,"Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac, Dual-band, v5.1",,3.5 mm,2025-09-04 23:08:33
325515,Máy tính bảng iPad Pro M4 11 inch WiFi 1TB,42190000,iPad (Apple),Tablet,5.0,22,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m4-11-inch-wifi-1tb,05/2024,Apple M4 10 nhân,Hãng không công bố,Apple GPU 10 nhân,16 GB,1 TB,12 MP,12 MP,"11""",Ultra Retina XDR,1668 x 2420 Pixels,120 Hz,iPadOS 17,,31.29 Wh,20 W,444 g,Nhôm nguyên khối,"Wi-Fi 6E, MIMO, Dual-band, v5.3",,Type-C,2025-09-04 23:08:33
315590,Máy tính bảng Samsung Galaxy Tab A9+ WiFi 4GB/64GB,4890000,Samsung,Tablet,4.9,7229,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-a9-plus,10/2023,Snapdragon 695,2.2 GHz,Adreno 619,4 GB,64 GB,8 MP,5 MP,"11""",TFT LCD,1200 x 1920 Pixels,90 Hz,Android 13,,7040 mAh,15 W,480 g,Nhôm nguyên khối,"Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac, Dual-band, v5.1",,3.5 mm,2025-09-04 23:08:33
322132,Máy tính bảng Samsung Galaxy Tab S10 Ultra 5G 12GB/256GB,29380000,Samsung,Tablet,5.0,170,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s10-ultra,10/2024,MediaTek Dimensity 9300+ 8 nhân,3.4 GHz,ARM Immortalis G720,12 GB,256 GB,Chính 13 MP & Phụ 8 MP,2 Camera 12 MP,"14.6""",Dynamic AMOLED 2X,1848 x 2960 Pixels,120 Hz,Android 14,IP68,11200 mAh,45 W,723 g,Nhôm nguyên khối,"Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac/ax, MIMO, Dual-band, v5.3",5G,Type-C,2025-09-04 23:08:33
340148,Máy tính bảng Masstel Tab 11 Ultra 4G 4GB/128GB,3990000,Masstel,Tablet,5.0,107,https://www.thegioididong.com/may-tinh-bang/masstel-tab-11-ultra-4gb-128gb,06/2025,Unisoc T606 8 nhân,1.6 GHz,Mali-G57,4 GB,128 GB,13 MP,5 MP,"10.95""",IPS LCD,1200 x 1920 Pixels,60 Hz,Android 15,,8000 mAh,18 W,500 g,Khung nhựa & Mặt lưng nhôm,"OTG, Có",Hỗ trợ 4G,Type-C,2025-09-04 23:08:33
322134,Máy tính bảng Samsung Galaxy Tab S6 Lite 2024 4G 4GB/64GB,7060000,Samsung,Tablet,4.9,2779,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s6-lite-2024,04/2024,Exynos 1280 8 nhân,2 nhân 2.4 GHz & 6 nhân 2 GHz,Mali-G68,4 GB,64 GB,8 MP,5 MP,"10.4""",TFT LCD,1200 x 2000 Pixels,60 Hz,Android 14,,7040 mAh,15 W,467 g,Kim loại nguyên khối,"Wi-Fi hotspot, Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac, Dual-band, v5.3",Hỗ trợ 4G,3.5 mm,2025-09-04 23:08:33
336737,Máy tính bảng Samsung Galaxy Tab S10 FE WiFi 8GB/128GB,10590000,Samsung,Tablet,5.0,2500,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s10-fe,04/2025,Exynos 1580 8 nhân,2.9 GHz,Xclipse 540,8 GB,128 GB,13 MP,12 MP,"10.9""",TFT LCD,1440 x 2304 Pixels,90 Hz,Android 15,IP68,8000 mAh,45 W,497 g,Nhôm nguyên khối,"Wi-Fi Direct, Wi-Fi 6, MIMO, Dual-band, v5.3",,Type-C,2025-09-04 23:08:33
315607,Máy tính bảng Xiaomi Redmi Pad SE WiFi 4GB/128GB,4210000,Xiaomi,Tablet,4.9,26751,https://www.thegioididong.com/may-tinh-bang/xiaomi-redmi-pad-se-4gb,09/2023,Snapdragon 680 8 nhân,2.4 GHz,Adreno 610,4 GB,128 GB,8 MP,5 MP,"11""",IPS LCD,1200 x 1920 Pixels,90 Hz,Android 13,,8000 mAh,10 W,478 g,Kim loại nguyên khối,"OTG, Wi-Fi 802.11 a/b/g/n/ac, Dual-band, v5.0",,3.5 mm,2025-09-04 23:08:33
325517,Máy tính bảng iPad Pro M4 13 inch WiFi 256GB,33090000,iPad (Apple),Tablet,5.0,908,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m4-13-inch-wifi-256gb,05/2024,Apple M4 9 nhân,Hãng không công bố,Apple GPU 10 nhân,8 GB,256 GB,12 MP,12 MP,"13""",Ultra Retina XDR,2064 x 2752 Pixels,120 Hz,iPadOS 17,,38.99 Wh,20 W,579 g,Nhôm nguyên khối,"Wi-Fi 6E, MIMO, Dual-band, v5.3",,Type-C,2025-09-04 23:08:33
334528,Máy tính bảng Xiaomi Pad 7 Pro WiFi 8GB/256GB,13540000,Xiaomi,Tablet,5.0,235,https://www.thegioididong.com/may-tinh-bang/xiaomi-pad-7-pro,03/2025,Snapdragon 8s Gen 3 8 nhân,3 GHz,Andreno 735,8 GB,256 GB,50 MP,32 MP,"11.2""",IPS LCD,2136 x 3200 Pixels,144 Hz,Xiaomi HyperOS 2,,8850 mAh,67 W,500 g,Nhôm nguyên khối,"v5.4, Wi-Fi Direct, Wi-Fi 7, Wi-Fi 6E, Wi-Fi 6, Dual-band",,Type-C,2025-09-04 23:08:33
